Policy Name,PolicyID,Arn
AWSStorageGatewayReadOnlyAccess,ANPAIFKCTUVOPD5NICXJK,arn:aws:iam::aws:policy/AWSStorageGatewayReadOnlyAccess
AWSSupportAccess,ANPAJSNKQX2OW67GF4S7E,arn:aws:iam::aws:policy/AWSSupportAccess
AWSDirectoryServiceFullAccess,ANPAINAW5ANUWTH3R4ANI,arn:aws:iam::aws:policy/AWSDirectoryServiceFullAccess
AWSDirectoryServiceReadOnlyAccess,ANPAIHWYO6WSDNCG64M2W,arn:aws:iam::aws:policy/AWSDirectoryServiceReadOnlyAccess
AmazonZocaloFullAccess,ANPAJLCDXYRINDMUXEVL6,arn:aws:iam::aws:policy/AmazonZocaloFullAccess
AmazonZocaloReadOnlyAccess,ANPAISRCSSJNS3QPKZJPM,arn:aws:iam::aws:policy/AmazonZocaloReadOnlyAccess
AmazonVPCFullAccess,ANPAJBWPGNOVKZD3JI2P2,arn:aws:iam::aws:policy/AmazonVPCFullAccess
AmazonVPCReadOnlyAccess,ANPAIICZJNOJN36GTG6CM,arn:aws:iam::aws:policy/AmazonVPCReadOnlyAccess
AWSAccountActivityAccess,ANPAJQRYCWMFX5J3E333K,arn:aws:iam::aws:policy/AWSAccountActivityAccess
AWSAccountUsageReportAccess,ANPAJLIB4VSBVO47ZSBB6,arn:aws:iam::aws:policy/AWSAccountUsageReportAccess
AmazonElasticMapReduceRole,ANPAIDI2BQT2LKXZG36TW,arn:aws:iam::aws:policy/service-role/AmazonElasticMapReduceRole
AmazonElasticMapReduceforEC2Role,ANPAIGALS5RCDLZLB3PGS,arn:aws:iam::aws:policy/service-role/AmazonElasticMapReduceforEC2Role
AutoScalingNotificationAccessRole,ANPAIO2VMUPGDC5PZVXVA,arn:aws:iam::aws:policy/service-role/AutoScalingNotificationAccessRole
AWSCloudHSMRole,ANPAI7QIUU4GC66SF26WE,arn:aws:iam::aws:policy/service-role/AWSCloudHSMRole
AmazonEC2RoleforDataPipelineRole,ANPAJ3Z5I2WAJE5DN2J36,arn:aws:iam::aws:policy/service-role/AmazonEC2RoleforDataPipelineRole
AmazonElasticTranscoderRole,ANPAJNW3WMKVXFJ2KPIQ2,arn:aws:iam::aws:policy/service-role/AmazonElasticTranscoderRole
AWSLambdaRole,ANPAJX4DPCRGTC4NFDUXI,arn:aws:iam::aws:policy/service-role/AWSLambdaRole
RDSCloudHsmAuthorizationRole,ANPAIWKFXRLQG2ROKKXLE,arn:aws:iam::aws:policy/service-role/RDSCloudHsmAuthorizationRole
AmazonSNSRole,ANPAJK5GQB7CIK7KHY2GA,arn:aws:iam::aws:policy/service-role/AmazonSNSRole
AWSConnector,ANPAJ6YATONJHICG3DJ3U,arn:aws:iam::aws:policy/AWSConnector
AWSMarketplaceFullAccess,ANPAI2DV5ULJSO2FYVPYG,arn:aws:iam::aws:policy/AWSMarketplaceFullAccess
AWSConfigUserAccess,ANPAIWTTSFJ7KKJE3MWGA,arn:aws:iam::aws:policy/AWSConfigUserAccess
AmazonEC2ContainerServiceforEC2Role,ANPAJLYJCVHC7TQHCSQDS,arn:aws:iam::aws:policy/service-role/AmazonEC2ContainerServiceforEC2Role
AmazonCognitoReadOnly,ANPAJBFTRZD2GQGJHSVQK,arn:aws:iam::aws:policy/AmazonCognitoReadOnly
AmazonCognitoPowerUser,ANPAJKW5H2HNCPGCYGR6Y,arn:aws:iam::aws:policy/AmazonCognitoPowerUser
AmazonCognitoDeveloperAuthenticatedIdentities,ANPAIQOKZ5BGKLCMTXH4W,arn:aws:iam::aws:policy/AmazonCognitoDeveloperAuthenticatedIdentities
AmazonWorkSpacesApplicationManagerAdminAccess,ANPAJPRL4KYETIH7XGTSS,arn:aws:iam::aws:policy/AmazonWorkSpacesApplicationManagerAdminAccess
AWSLambdaBasicExecutionRole,ANPAJNCQGXC42545SKXIK,arn:aws:iam::aws:policy/service-role/AWSLambdaBasicExecutionRole
AWSLambdaDynamoDBExecutionRole,ANPAIP7WNAGMIPYNW4WQG,arn:aws:iam::aws:policy/service-role/AWSLambdaDynamoDBExecutionRole
AWSLambdaKinesisExecutionRole,ANPAJHOLKJPXV4GBRMJUQ,arn:aws:iam::aws:policy/service-role/AWSLambdaKinesisExecutionRole
AmazonEC2ContainerServiceRole,ANPAJO53W2XHNACG7V77Q,arn:aws:iam::aws:policy/service-role/AmazonEC2ContainerServiceRole
